resource_id	bounded_resource_or_contract	canonical_owner_or_gate	current_producer	consumers	transformation_or_binding	refusal_or_failure_owner	integrated_witness_owner	current_state	exact_blocker
DR-001	next milestone label and release floor	D-001 plus D-007	release audit and owner-ruling packet	Deployment Account Game UI Accessibility Operations Content	explicit in-out-deferred ruling	owner rejects false release labels	R-002 baseline plus final integrated release proof	owner_ready	owner ruling not yet adopted
DR-002	blocking CI topology and budget	CI Baseline plus D-014	six-job push/PR workflow plus maintenance evidence workflow	all implementation and release closeout	governed fast and slow evidence lanes	invalid or timed-out objectives fail loud	current-head hosted push/PR run plus complete maintenance observation	partial	D-014 topology implemented locally; hosted evidence pending
DR-003	versioned release manifest and package	Deployment Foundation	gameserver binary and repository catalogs only	operator self-host sunset package	server client catalogs migrations licenses and config bound to one version	missing or mismatched component refuses startup	R-006 clean-host rehearsal	absent	Deployment body and owner topology unresolved
DR-004	public origin proxy and rotating secret configuration	Deployment Foundation plus Account API Transport	package-local primitives	gameserver account public API websocket	validated host configuration binds current and previous keys and trust boundary	missing wrong or expired configuration fails closed	R-006 config matrix	mechanical_fragment	production composition hardcodes or omits values
DR-005	backup restore rollback contract	Deployment and operations successor under D-006	migrations and state restore primitives	operator and self-host user	backup binds database artifacts epoch identity secrets and supported binary	truncated wrong-epoch or unsupported rollback refuses	R-006	absent	no package tool runbook RPO RTO or owner
DR-006	operational metrics logs alerts and incident path	operations successor under D-011	health readiness drain and JSON invariants	operator incident and breach workflows	privacy-safe request and job identity into metrics logs and alerts	cardinality privacy or delivery violation fails gate	R-007	mechanical_fragment	no exporter correlation SLO alert dashboard or runbook
DR-007	data retention and deletion schedule	Account Save operations successor under D-009 and D-015	credential GC and five-snapshot pruning	account deletion export operator cleanup and legal copy	per-family purpose duration trigger cleanup and disclosure	immutable replay exceptions and cleanup failure visible	R-007 plus R-003 disclosure task	contradicted_incomplete	intent pruner uncomposed and most families unruled
DR-008	anonymous account recovery and durable session lifecycle	Account successor under D-005	backend recovery refresh revoke primitives	Game UI runtime and WebSocket Transport	recovery display login refresh retry socket reauth and replacement prevention	corrupt missing expired replayed credentials fail honestly	R-003 plus composed expiry and live-socket negatives	backend_only	no player recovery branch and refresh consumer
DR-009	player export import and deletion contract	Account data-portability successor under D-008 and D-009	backend import and deletion only	Settings self-host import leaderboard and privacy disclosure	versioned export binds account current state and chosen history/provenance	partial export network loss and retained history are explicit	R-003 plus R-006 portable import arm	mechanical_fragment	export absent and deletion/import have no UI
DR-010	local-only outage save and later import	Account plus Game UI successor after design body reconciliation	backend import primitive	Game UI storage reconnect and Account import	local state and queued intent ownership bind to ruled server-anonymous default	outage corrupt cache and collision fail without silent account replacement	R-003 and R-004 outage arms	claimed_only	no local gameplay owner and older bodies conflict
DR-011	one authoritative v1 operation registry	API Foundation	10 registry operations plus 11 hand routes	generated docs clients privacy and handlers	operation descriptor binds request response auth headers query and handler	unregistered route or handler drift fails generation	API AC1 through AC5 repaired witnesses	mechanical_fragment	live routes split across two authorities
DR-012	generated browser API client	API Foundation	generated TypeScript metadata only	Game UI Minigame Recovery boards spectator and tools	registry produces typed raw-success and error clients	all-source lint rejects direct API fetch alternatives	API AC4 plus composed browser workflows	absent	generator cannot express ruled inputs outputs and runtime uses fetch
DR-013	realtime position recovery and drain controller	WebSocket Transport	server history positions typed closes and cursor primitive	Game UI runtime and every live channel	persisted per-scope cursors drive reconnect recovery resubscribe and full sync	gaps overflow expiry nonmembership and drain are typed	Transport AC2 through AC6 browser and protocol negatives	server_only	production consumer and cursor binding absent
DR-014	Game UI authoritative transition contract	Game UI Screens	snapshot v2 Desk Offer and Run End fragments	player first hour Exit and next run	snapshot eligibility renders exact Gate Wind Down and continue intents	stale eligibility disconnect suppression and refusal remain visible	R-004	mechanical_fragment	snapshot v3 controls absent and RFC body contradicts rulings
DR-015	cross-surface accessibility contract	new accepted accessibility owner after D-001	UI Foundation semantics and theme tokens	all release workflow surfaces	keyboard focus announcements reflow zoom pointer motion and noncolor states bind per task	seeded trap unlabeled status overflow and unreduced shell fail	R-005	mechanical_fragment	focus reflow motion defects and absent tasks
DR-016	minigame tenant session and replay contract	Minigame Platform	Pitch tenant DB sessions ratings offline quality	Minigame API Recovery UI and future tenants	pure tenant commands bind catalog engine version authoritative session and frozen outputs	budget reconnect duplicate stale and missing-content failures typed	Minigame Platform repaired AC set	backend_proven_partial	body falsely claims combat tenant and decay consumer missing
DR-017	minigame and Soul Recovery HTTP plus player surfaces	Minigame API and Surface plus API Foundation	composed backend operations and DTO registry	generated client Game UI Pitch table Recovery scheduler and toy	API session state maps to loading active pause reconnect terminal and return surfaces	error pairs rate limits cancel and nonmutation bind exact state	backend witnesses then visible workflow acceptance	backend_proven_surface_absent	exact body and surface contract plus generated client absent
DR-018	combat effect arithmetic RNG and input tables	Combat Shared Data and Arithmetic	dual-runtime kernel RNG and chart	Duel Lane Bots Pets Minigame Platform	strict catalogs and literal moral-input tables feed one parity kernel	unknown labels effects bounds and native division refuse	Combat AC1 through AC6	kernel_proven_spec_blocked	effect unions tables and runtime slash scope unresolved
DR-019	Duel and Lane authoritative engines	Combat Duel and Combat Lane drafts	none	Bots Integration Minigame Platform pet and lane surfaces	shared combat contract into mode-specific state machines	invalid hidden or timeout intents refuse under server authority	child RFC exact simulations and cross-runtime fixtures	absent	DR-018 and accepted child bodies
DR-020	honest bots matchmaking and verified match integration	Combat Bots and Integration	none	Duel Lane Minigame Platform rankings and player surfaces	bot policy consumes identical visible state and intent validation	bot cheating hidden-info or no-human fallback absence fails	blinded bot review plus composed match workflows	absent	both engines Minigame integration and bot acceptance research
DR-021	run epoch replay verdict board and public evidence	Leaderboards plus API Foundation	backend epoch replay projection and five categories	public readers Game UI speedrun spectator and route consumers	immutable run identity transforms through verifier to category rank and evidence	imported assisted invalid or historical mismatch excludes visibly	Leaderboards repaired AC set plus public API workflow	mechanical_fragment	reader surface body repair and review closeout absent
DR-022	Commons guild onboarding governance and player ritual	Commons Onboarding plus Account API Game UI	Commons guild tithe clearing presence backend	player membership governance exchange health and fallback	account intent API and UI bind authoritative membership and formulas	eligibility abuse names empty-population and bot fallback typed	accepted Commons UI end-to-end workflow	backend_fragment	draft omits exact API UI dependency and player contract
DR-023	World state contribution milestone and Planet contract	World Layer plus D-016 telemetry	zero-field world snapshots and backend inputs	Game UI Feed Events boards and content gates	committed production aggregates into versioned world state and published formulas	low population bot traffic stale epoch and threshold uncertainty visible	R-009 then World acceptance	fragment	telemetry posture API reader UI and exact content gate unresolved
DR-024	personal event DSL effects and authored pack	Events Layer 1	meters achievements routes and production hooks only	Game UI Feed World later event layers	closed trigger condition option effect and pacing transforms inside authoritative replay	invalid effects recursion lockouts and stale content fail validation	Events acceptance with real pack and negative fixtures	absent	draft dependencies stale and no accepted body or content
DR-025	curated Feed and Dispatch stream	Feed and Dispatch	transport feed channel and structural sources	Game UI presence social ritual and world narrative	World Events Commons and operator outputs are curated and rate-shaped at source	private free-text amplification and empty-room states refuse or fall back	Feed acceptance including bot and moderation paths	transport_fragment	DR-023 DR-024 D-017 and exact UI contract
DR-026	aggregate gameplay telemetry and milestone calibration	D-016 then telemetry successor	none	World thresholds pacing live balance and honesty appendix	minimal aggregate schema into uncertainty-bounded published measures	duplicates late bots low population and private identifiers fail or exclude	R-009	absent	owner posture and accepted instrument missing
DR-027	content epoch mint and historical replay preservation	First Content Epoch plus Leaderboards epoch authority	epoch 6 through 8 immutable artifacts	all catalog consumers replay deploy and later content	accepted reviewed artifacts bind manifest hash migrations and historical loaders	missing bytes wrong hash or unreviewed content refuses mint	fixed historical and deploy-current activation plus exact review union	proven_bounded_closeout_open	FCE body plan witness and provenance reconciliation
DR-028	Permits two-resource T3 to T4 gate	Permits plus content epoch	live resource generator and gate rows	Production Go and TypeScript replay future T3 content	Cash and Permits predicate and spending bind one gate transition	one-resource or missing-copy drift fails exact witness	Permits repaired AC set	live_content_proof_gap	body docs exact cross-runtime witness and provenance open
DR-029	versioned sunset covenant export and final artifact	D-003 then sunset successor	research intent only	player self-host operator ending and public archive	package export notice world artifact license and mirror bind one ratcheting version	unrehearsed missing or privacy-leaking artifact blocks promise	R-006 plus sunset rehearsal	claimed_only	false research premise owner posture and deliverables absent
DR-030	first-session guidance and terminal understanding	Game UI plus owner-authored Copy under D-001 and D-007	partial static hints and five current surfaces	new player core loop refusal outage and Exit understanding	authoritative state maps to progressive hints and exact consequence copy	misleading hidden or unavailable guidance is detected not blamed on user	R-008	partial_static	complete surface content and study absent
