number	file	domain	up_marker	down_marker	current_executable_evidence	remaining_proof_limit
00001	00001_save_streams.sql	save	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00002	00002_intents_events.sql	save	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00003	00003_routes.sql	routes	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00004	00004_commons.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00005	00005_commons_projection.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00006	00006_commons_samples.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00007	00007_commons_dispatches.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00008	00008_route_projection_debt.sql	routes	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00009	00009_commons_membership_revision.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00010	00010_accounts.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00011	00011_prestige_events.sql	prestige	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00012	00012_run_log.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00013	00013_epochs_boards.sql	leaderboard	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00014	00014_verified_boards.sql	leaderboard	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00015	00015_transport_outbox.sql	transport	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00016	00016_session_families.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00017	00017_run_version_drift.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00018	00018_transport_outbox_failures.sql	transport	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00019	00019_anonymized_founders.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00020	00020_event_commit_sequence.sql	save	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00021	00021_governance_integrity.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00022	00022_event_run_lookup.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00023	00023_factions.sql	faction	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00024	00024_compact_tithe_raised.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00025	00025_guilds.sql	guild	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00026	00026_guild_presence_claims.sql	guild	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00027	00027_guild_runtime.sql	guild	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00028	00028_guild_account_deletion.sql	guild	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00029	00029_guild_runtime_hardening.sql	guild	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00030	00030_run_replay_inputs.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00031	00031_run_log_immutability.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00032	00032_run_genesis.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00033	00033_replay_verification_queue.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00034	00034_replay_verification_hardening.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00035	00035_run_ended_v2.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00036	00036_leaderboard_categories.sql	leaderboard	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00037	00037_run_log_archive_compaction.sql	replay	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00038	00038_valuation_boards.sql	leaderboard	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00039	00039_valuation_zero_order.sql	leaderboard	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00040	00040_player_message_outbox.sql	transport	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00041	00041_player_outbox_stream_identity.sql	transport	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00042	00042_transport_historical_events.sql	transport	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00043	00043_commons_sample_run.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00044	00044_guild_clearing_run_identity.sql	guild	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00045	00045_commons_sample_run_backfill.sql	commons	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00046	00046_guild_clearing_membership_identity.sql	guild	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00047	00047_purchasable_content.sql	production	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00048	00048_foundation_events.sql	production	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00049	00049_minigame_sessions.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00050	00050_minigame_claim_release.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00051	00051_minigame_identity_hardening.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00052	00052_minigame_session_commands.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00053	00053_minigame_command_retention.sql	minigame	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
00054	00054_founder_log.sql	account	present	present	validate-migrations cold green	per-migration semantic rollback not isolated
