key	source_catalog	source_label	params	tone	current_orphan_report	mounted_literal_sites	mounted_dynamic_sites	deploy_artifact_refs	go_producer_refs	other_catalog_refs	test_tool_refs	workflow	verdict	evidence_limit
achievement.career_attended_day	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:5	-	-	balance/testdata/first-content/achievements-v1.json:19;balance/testdata/first-content/achievements-v1.json:5	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.career_attended_hour	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:22	-	-	balance/testdata/first-content/achievements-v1.json:22;balance/testdata/first-content/achievements-v1.json:36	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.exit_count_5	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:39	-	-	balance/testdata/first-content/achievements-v1.json:39;balance/testdata/first-content/achievements-v1.json:53	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.first_gate	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:56	-	-	balance/testdata/achievements-catalog-parity-v1.json:12;balance/testdata/achievements-catalog-parity-v1.json:20;balance/testdata/achievements-catalog-parity-v1.json:25;balance/testdata/achievements-catalog-parity-v1.json:7;balance/testdata/first-content/achievements-v1.json:56;balance/testdata/first-content/achievements-v1.json:70;client/test/achievements.test.ts:19;client/test/achievements.test.ts:20;client/test/achievements.test.ts:52;client/test/achievements.test.ts:8;client/test/replay.test.ts:704;server/achievements/catalog_test.go:246;server/achievements/catalog_test.go:249;server/achievements/catalog_test.go:37;server/achievements/catalog_test.go:50;server/achievements/catalog_test.go:51;server/achievements/catalog_test.go:82;server/production/foundations_test.go:573;server/production/foundations_test.go:62;server/replaycatalog/catalog_test.go:83;server/save/intent_test.go:106;server/save/intent_test.go:113	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.gate_burn_t3	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:73	-	-	balance/testdata/first-content/achievements-v1.json:73;balance/testdata/first-content/achievements-v1.json:87	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.generators_owned_100	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:90	-	-	balance/testdata/first-content/achievements-v1.json:102;balance/testdata/first-content/achievements-v1.json:90	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.generators_owned_300	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:105	-	-	balance/testdata/first-content/achievements-v1.json:105;balance/testdata/first-content/achievements-v1.json:117	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.generators_purchased_1	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:120	-	-	balance/testdata/first-content/achievements-v1.json:120;balance/testdata/first-content/achievements-v1.json:134;client/src/ui/FixtureHost.svelte:29	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.generators_purchased_25	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:137	-	-	balance/testdata/first-content/achievements-v1.json:137;balance/testdata/first-content/achievements-v1.json:151	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.generators_purchased_25_tier_3	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:154	-	-	balance/testdata/first-content/achievements-v1.json:154;balance/testdata/first-content/achievements-v1.json:179	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.old_hand	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:182	-	-	balance/testdata/first-content/achievements-v1.json:182;balance/testdata/first-content/achievements-v1.json:196;server/production/foundations_test.go:62	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.possession_warning	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:99	-	-	balance/testdata/achievements-catalog-parity-v1.json:18;balance/testdata/achievements-catalog-parity-v1.json:25;balance/testdata/first-content/achievements-v1.json:114;balance/testdata/first-content/achievements-v1.json:99;client/test/achievements.test.ts:20;client/test/achievements.test.ts:60;client/test/achievements.test.ts:8;server/achievements/catalog_test.go:37;server/achievements/catalog_test.go:51;server/achievements/catalog_test.go:98	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
achievement.tier_5	copy/catalog/achievements-candidate.json	achievements-candidate	-	achievement	referenced	-	-	achievements@balance/achievements/first-content.json:199	-	-	balance/testdata/first-content/achievements-v1.json:199;balance/testdata/first-content/achievements-v1.json:213	deploy-current achievements	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
cap.minigame_faucet	copy/catalog/phase0.json	phase0	-	corporate	orphan	-	-	-	-	unregistered-current:minigames@balance/minigames/first-content.json:32	-	deploy-current minigames	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
cap.pitch_exponent	copy/catalog/phase0.json	phase0	-	corporate	orphan	-	-	-	-	unregistered-current:pitch@balance/pitch.json:16	balance/testdata/pitch-v1.json:16	deploy-current pitch	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
cap.pitch_hack_slots	copy/catalog/phase0.json	phase0	-	corporate	orphan	-	-	-	-	unregistered-current:pitch@balance/pitch.json:14	balance/testdata/pitch-v1.json:14	deploy-current pitch	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
cap.pitch_hand	copy/catalog/phase0.json	phase0	-	corporate	orphan	-	-	-	-	unregistered-current:pitch@balance/pitch.json:11	balance/testdata/pitch-v1.json:11	deploy-current pitch	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
cap.pitch_hands	copy/catalog/phase0.json	phase0	-	corporate	orphan	-	-	-	-	unregistered-current:pitch@balance/pitch.json:13	balance/testdata/pitch-v1.json:13	deploy-current pitch	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
cap.pitch_play	copy/catalog/phase0.json	phase0	-	corporate	orphan	-	-	-	-	unregistered-current:pitch@balance/pitch.json:12	balance/testdata/pitch-v1.json:12	deploy-current pitch	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
cap.pitch_rounds	copy/catalog/phase0.json	phase0	-	corporate	orphan	-	-	-	-	unregistered-current:pitch@balance/pitch.json:15	balance/testdata/pitch-v1.json:15	deploy-current pitch	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
category.any_percent	copy/catalog/phase0.json	phase0	-	corporate	referenced	-	bounded category map@client/src/game-ui/GameUIApp.svelte:180	categories@balance/categories/phase0.json:11	-	unregistered-current:soul@balance/soul/first-content.json:14	balance/testdata/epoch5/categories.json:11;balance/testdata/first-content/categories-v1.json:11;balance/testdata/first-content/soul-v1.json:14;balance/testdata/t0-t1/categories-v1.json:11;client/src/ui/FixtureHost.svelte:26;client/test/replay.test.ts:471;client/test/soul-catalog.test.ts:12;client/test/soul-catalog.test.ts:5;server/leaderboard/categories_test.go:52;server/leaderboard/categories_test.go:60;server/production/foundations_test.go:191;server/production/foundations_test.go:591;server/production/foundations_test.go:62;server/production/replay_cross_runtime_test.go:1657;server/replaycatalog/catalog_test.go:227;server/replaycatalog/catalog_test.go:83;server/save/intent_test.go:68;server/soul/catalog_test.go:20;server/soul/catalog_test.go:38	category title binding	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
category.ethical_percent	copy/catalog/phase0.json	phase0	-	corporate	referenced	-	bounded category map@client/src/game-ui/GameUIApp.svelte:180	categories@balance/categories/phase0.json:29	-	unregistered-current:soul@balance/soul/first-content.json:12	balance/testdata/epoch5/categories.json:29;balance/testdata/first-content/categories-v1.json:29;balance/testdata/first-content/soul-v1.json:12;balance/testdata/t0-t1/categories-v1.json:29;client/test/replay.test.ts:469;client/test/soul-catalog.test.ts:10;client/test/soul-catalog.test.ts:5;server/production/foundations_test.go:191;server/replaycatalog/catalog_test.go:227;server/soul/catalog_test.go:18;server/soul/catalog_test.go:38	category title binding	shipped_backend_or_data_only	bounded client map exists, but current Game UI projector hardcodes any_percent; catalog/fixture presence is not a live selector
category.hundred_percent	copy/catalog/phase0.json	phase0	-	corporate	referenced	-	bounded category map@client/src/game-ui/GameUIApp.svelte:180	categories@balance/categories/phase0.json:17	-	unregistered-current:soul@balance/soul/first-content.json:13	balance/testdata/epoch5/categories.json:17;balance/testdata/first-content/categories-v1.json:17;balance/testdata/first-content/soul-v1.json:13;balance/testdata/t0-t1/categories-v1.json:17;client/src/ui/FixtureHost.svelte:31;client/test/replay.test.ts:470;client/test/soul-catalog.test.ts:11;client/test/soul-catalog.test.ts:5;server/production/foundations_test.go:191;server/replaycatalog/catalog_test.go:227;server/soul/catalog_test.go:19;server/soul/catalog_test.go:38	category title binding	shipped_backend_or_data_only	bounded client map exists, but current Game UI projector hardcodes any_percent; catalog/fixture presence is not a live selector
category.low_percent	copy/catalog/phase0.json	phase0	-	corporate	referenced	-	bounded category map@client/src/game-ui/GameUIApp.svelte:180	categories@balance/categories/phase0.json:35	-	unregistered-current:soul@balance/soul/first-content.json:11	balance/testdata/epoch5/categories.json:35;balance/testdata/first-content/categories-v1.json:35;balance/testdata/first-content/soul-v1.json:11;balance/testdata/t0-t1/categories-v1.json:35;client/test/replay.test.ts:468;client/test/soul-catalog.test.ts:5;client/test/soul-catalog.test.ts:9;server/production/foundations_test.go:191;server/replaycatalog/catalog_test.go:227;server/save/intent_test.go:64;server/soul/catalog_test.go:17;server/soul/catalog_test.go:38	category title binding	shipped_backend_or_data_only	bounded client map exists, but current Game UI projector hardcodes any_percent; catalog/fixture presence is not a live selector
category.valuation	copy/catalog/phase0.json	phase0	-	corporate	referenced	-	bounded category map@client/src/game-ui/GameUIApp.svelte:180	categories@balance/categories/phase0.json:45	-	-	balance/testdata/epoch5/categories.json:45;balance/testdata/first-content/categories-v1.json:45;balance/testdata/t0-t1/categories-v1.json:45;client/src/ui/FixtureHost.svelte:25;client/test/soul-catalog.test.ts:13;client/test/soul-catalog.test.ts:5;server/gameserver/minigame_api_integration_test.go:516;server/save/intent_test.go:63;server/soul/catalog_test.go:22;server/soul/catalog_test.go:38	category title binding	shipped_backend_or_data_only	bounded client map exists, but current Game UI projector hardcodes any_percent; catalog/fixture presence is not a live selector
chrome.run_title.company_fallback	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	client/src/game-ui/GameUIApp.svelte:211	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
chrome.run_title.pb_empty	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	client/src/game-ui/GameUIApp.svelte:213;client/src/game-ui/GameUIApp.svelte:241	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
chrome.run_title.pb_label	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	-	-	-	-	-	none discovered	unreferenced_candidate	no bounded exact reference found; deletion still requires successor diff review and dynamic-grammar guard
chrome.run_title.rta_label	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	-	-	-	-	-	-	none discovered	unreferenced_candidate	no bounded exact reference found; deletion still requires successor diff review and dynamic-grammar guard
chrome.run_title.tier_frame	copy/catalog/game-ui-candidate.json	game-ui-candidate	tier:integer	corporate	orphan	client/src/game-ui/GameUIApp.svelte:214	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
chrome.splits.first_attempt_note	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:293	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
chrome.splits.label	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	corporate	orphan	client/src/game-ui/GameUIApp.svelte:293	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
chrome.visitor_counter.frame	copy/catalog/game-ui-candidate.json	game-ui-candidate	count:integer	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:220	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
chrome.visitor_counter.tooltip	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:220	-	-	-	-	-	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
compact.recruitment.mid_t3	copy/catalog/phase0.json	phase0	-	corporate	referenced	-	-	-	OfferRecruitment@server/commonsprojection/projector.go:655	-	server/save/intent_test.go:172	backend event/receipt only	shipped_backend_or_data_only	current data/producer presence does not prove a mounted reader or visible rendering
cosmetic.horse_armor_free.description	copy/catalog/game-ui-candidate.json	game-ui-candidate	price:string	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:296	-	-	-	presentation:client/src/game-ui/presentation.generated.json:33	balance/testdata/t0-t1/presentation-v1.json:33;balance/testdata/t0-t1/presentation-v2.json:33;balance/testdata/t0-t1/presentation-v3.json:33	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
cosmetic.horse_armor_free.disclosure	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:296	-	-	-	presentation:client/src/game-ui/presentation.generated.json:34	balance/testdata/t0-t1/presentation-v1.json:34;balance/testdata/t0-t1/presentation-v2.json:34;balance/testdata/t0-t1/presentation-v3.json:34	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
cosmetic.horse_armor_free.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	client/src/game-ui/GameUIApp.svelte:296	-	-	-	presentation:client/src/game-ui/presentation.generated.json:32	balance/testdata/t0-t1/presentation-v1.json:32;balance/testdata/t0-t1/presentation-v2.json:32;balance/testdata/t0-t1/presentation-v3.json:32	Game UI/Desk	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
curriculum.first_failure.acquihire.body	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Run End bounded branch map@client/src/game-ui/RunEndSurface.svelte:24	-	-	unregistered-current:curriculum@balance/curriculum/t0-t1.json:24	balance/testdata/t0-t1/curriculum-v2.json:24	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
curriculum.first_failure.acquihire.title	copy/catalog/game-ui-candidate.json	game-ui-candidate	-	diegetic	orphan	-	Run End bounded branch map@client/src/game-ui/RunEndSurface.svelte:23	-	-	unregistered-current:curriculum@balance/curriculum/t0-t1.json:23	balance/testdata/t0-t1/curriculum-v2.json:23	Run End	mounted_player_copy	static bounded path at 190a4fa; not a browser interaction-frequency claim
