rfc_filename	planning_directory	status	lines	open_plan_boxes	review_by_tokens	reviewed_range_tokens	active_rfc_refs	canonical_docs	existing_rp	risk_score	selection	replay_verdict
0001-numeric-core.md	0001-numeric-core	implemented	100	0	0	0	0	numeric-core.md	-	4	structural-only	structural_only_not_replayed
0002-economy-constants-and-ceilings.md	0002-economy-kernel	implemented	207	0	0	0	0	economy-kernel.md	-	4	structural-only	structural_only_not_replayed
active-play-buff-windows.md	active-play-buff-windows	implemented	592	0	6	0	0	active-play.md;production-engine.md;save-layer.md	-	6	structural-only	structural_only_not_replayed
balance-baseline-change-guard.md	balance-baseline-change-guard	implemented	77	0	0	0	0	balance-harness.md	-	4	structural-only	structural_only_not_replayed
balance-harness-foundation.md	balance-harness-foundation	implemented	286	0	0	0	1	balance-harness.md;production-engine.md	RP-001;RP-021;RP-022;RP-023;RP-059	12	mandatory-score/current-CI/harness	qualified_current_regression
client-shell-and-sim-loop.md	client-shell-and-sim-loop	implemented	136	0	0	0	0	client-shell.md	RP-094;RP-095	9	mandatory-score/client-runtime	proven_bounded_orphan_telemetry
clout-and-achievements-foundation.md	clout-and-achievements-foundation	implemented	317	0	14	1	0	achievements.md;production-engine.md;save-layer.md	-	0	structural-only	structural_only_not_replayed
commons-compact.md	commons-compact	implemented	170	0	0	0	1	commons.md;production-engine.md;save-layer.md	-	7	structural-only	structural_only_not_replayed
commons-merge-capacity.md	commons-merge-capacity	implemented	45	0	0	0	0	commons.md	-	4	structural-only	structural_only_not_replayed
commons-projection-retry-idempotency.md	commons-projection-retry-idempotency	implemented	50	0	0	0	0	commons.md	-	4	structural-only	structural_only_not_replayed
copy-pipeline-foundation.md	copy-pipeline-foundation	implemented	304	0	5	0	0	copy-pipeline.md	RP-096;RP-097	9	mandatory-score/content-copy	defect_oracle_and_record_fragmentation
deterministic-decimal-aggregation.md	deterministic-decimal-aggregation	implemented	52	0	0	0	0	numeric-core.md;economy-kernel.md	-	4	structural-only	structural_only_not_replayed
doctrine-and-compute-credit.md	doctrine-and-compute-credit	implemented	365	0	5	1	0	doctrine-and-compute-credit.md;production-engine.md;save-layer.md;routes.md	-	0	low-risk-control/economy	proven_bounded_premint
faction-incorporation.md	faction-incorporation	implemented	153	0	0	0	0	factions.md;production-engine.md;save-layer.md	-	4	structural-only	structural_only_not_replayed
fiscal-quarters-foundation.md	fiscal-quarters-foundation	implemented	582	7	4	0	0	fiscal-quarters.md;production-engine.md;save-layer.md	-	10	mandatory-open-box/score	defect_unreconciled_body_and_plan
founder-attendance-foundation.md	founder-attendance	implemented	288	0	3	0	0	founder-transitions.md;save-layer.md	-	4	structural-only	structural_only_not_replayed
gameserver-composition.md	gameserver-composition	implemented	121	0	18	0	0	gameserver.md;guilds.md	RP-086;RP-103	9	mandatory-score/runtime	proven_bounded_later_operations_debt
gate-predicates-and-routes.md	gate-predicates-and-routes	implemented	190	0	0	0	0	routes.md;production-engine.md;save-layer.md	RP-040;RP-104	9	mandatory-score/active-dependency	direct_defect_name_expiry_uncomposed
generator-production-state.md	generator-production-state	implemented	116	0	0	0	0	economy-kernel.md;save-layer.md	-	4	structural-only	structural_only_not_replayed
geometric-afford-fast-path.md	geometric-afford-fast-path	implemented	75	0	0	0	1	economy-kernel.md	-	7	structural-only	structural_only_not_replayed
guild-model.md	guild-model	implemented	240	0	0	0	0	guilds.md;production-engine.md;save-layer.md	-	4	domain-floor/multiplayer	proven_backend_only_by_scope
meters-foundation.md	meters-foundation	implemented	355	0	21	1	0	meters.md;production-engine.md;save-layer.md	-	0	low-risk-control	proven_bounded
millisecond-cursor-canonicalization.md	millisecond-cursor-canonicalization	implemented	113	0	0	0	0	save-layer.md;production-engine.md	-	4	structural-only	structural_only_not_replayed
minigame-the-pitch.md	minigame-the-pitch	implemented	666	0	7	0	0	minigame-the-pitch.md;minigame-platform.md	RP-046;RP-047	11	mandatory-score/active-dependency	qualified_fixture_first_surface_carried
numeric-boundary-parity.md	numeric-boundary-parity	implemented	56	0	0	0	0	numeric-core.md	-	4	domain-floor/numeric	proven_bounded_historical_provenance
numeric-core-boundary-hardening.md	numeric-core-boundary-hardening	implemented	143	0	0	0	0	numeric-core.md	-	4	structural-only	structural_only_not_replayed
numeric-normalization-carry.md	numeric-normalization-carry	implemented	56	0	0	0	0	numeric-core.md	-	4	structural-only	structural_only_not_replayed
pet-care-foundation.md	pet-care-foundation	implemented	668	0	12	0	0	pet-care.md;founder-transitions.md;save-layer.md	-	6	structural-only	structural_only_not_replayed
phase0-pacing-observation-coverage.md	phase0-pacing-observation-coverage	implemented	94	0	0	0	0	balance-harness.md	-	4	structural-only	structural_only_not_replayed
post-review-integrity-remediation.md	post-review-integrity-remediation	implemented	98	0	0	0	0	balance-harness.md;routes.md;commons.md;save-layer.md	-	4	structural-only	structural_only_not_replayed
production-accrual-math.md	production-accrual-math	implemented	72	0	0	0	0	numeric-core.md	-	4	structural-only	structural_only_not_replayed
