file	boundary	family	production_consumer	current_evidence_limit
balance/achievements.schema.json	schema	achievements	validator only	structure authority, not content/workflow
balance/achievements/first-content.json	epoch_artifact	achievements	production/replaycatalog	backend only; no player surface
balance/api/phase0.json	platform_uncomposed	api_policy	none	read only by policy tests
balance/catalogs/phase0.json	epoch_artifact	economy	production/gameui	bounded T0-T1 player flow
balance/categories/phase0.json	epoch_artifact	categories	leaderboard/gameui	category labels only; no board reader
balance/client-shell.schema.json	schema	client_shell	validator only	structure authority, not workflow
balance/client-shell/phase0.json	platform_production	client_shell	GameUIShell/Worker	prediction only; no durable offline queue
balance/commons.schema.json	schema	commons	validator only	structure authority, not workflow
balance/commons/phase0.json	epoch_artifact	commons	commons/production	backend only; no full player surface
balance/curriculum/t0-t1.json	epoch_artifact	curriculum	production/gameui	partial Run End branch; no continuation
balance/doctrines.schema.json	schema	doctrines	validator only	structure authority, not workflow
balance/doctrines/first-content.json	epoch_artifact	doctrines	production/replaycatalog	backend only; no player surface
balance/economy.schema.json	schema	economy	validator only	structure authority, not workflow
balance/epochs/phase0.json	platform_production	epoch_seed	gameserver/leaderboard/harness	repository-disk dependency; eight epoch IDs
balance/factions.schema.json	schema	factions	validator only	structure authority, not workflow
balance/factions/phase0.json	epoch_artifact	factions	production/faction	backend only; no player surface
balance/fiscal.schema.json	schema	fiscal	validator only	structure authority, not workflow
balance/fiscal/first-content.json	epoch_artifact	fiscal	production/replaycatalog	backend only; no player surface
balance/guilds.schema.json	schema	guilds	validator only	structure authority, not workflow
balance/guilds/phase0.json	epoch_artifact	guilds	guild/production	backend only; no player surface
balance/leaderboards.schema.json	schema	categories/boards	validator only	structure authority; no live leaderboard file
balance/meters.schema.json	schema	meters	validator only	structure authority, not workflow
balance/meters/first-content.json	epoch_artifact	meters	production/replaycatalog	backend only; no player surface
balance/minigame-api/first-content.json	epoch_artifact	minigame_api	production/API	backend only; no production client
balance/minigames/first-content.json	epoch_artifact	minigames	minigame/production	Pitch only; no production client
balance/opportunities.schema.json	schema	opportunities	validator only	structure authority, not workflow
balance/opportunities/t0-t1.json	epoch_artifact	opportunities	production/replaycatalog	backend only; no player surface
balance/pets/first-content.json	epoch_artifact	pets	production/save	backend only; no player surface
balance/pitch.json	epoch_artifact	pitch	pitch tenant/production	backend only; no player surface
balance/prestige.schema.json	schema	prestige	validator only	structure authority, not workflow
balance/prestige/phase0.json	epoch_artifact	prestige	production/gameui	partial Offer/Run End path
balance/relevance.schema.json	schema	relevance	validator only	structure authority, not measurement validity
balance/relevance/t0-t1.json	epoch_artifact	relevance	harness/production	hosted complete measurement invalid
balance/routes-testdata/invalid/dangling-resource.json	route_negative_fixture	routes	tests only	must fail schema/boundary gate
balance/routes-testdata/invalid/reachable-depletion.json	route_negative_fixture	routes	tests only	must fail schema/boundary gate
balance/routes-testdata/invalid/temporal-impossibility.json	route_negative_fixture	routes	tests only	must fail schema/boundary gate
balance/routes-testdata/invalid/unbound-exclusion.json	route_negative_fixture	routes	tests only	must fail schema/boundary gate
balance/routes-testdata/invalid/unknown-field.json	route_negative_fixture	routes	tests only	must fail schema/boundary gate
balance/routes-testdata/valid/minimal.json	route_positive_fixture	routes	tests only	fixture is not epoch content
balance/routes.schema.json	schema	routes	validator only	structure authority, not workflow
balance/routes/phase0.json	epoch_artifact	routes	production/routeprojection/gameui	gate facts only; registry/history absent
balance/soul/first-content.json	epoch_artifact	soul	production/Soul API	backend only; no player surface
balance/testdata/achievements-catalog-parity-v1.json	test_fixture	achievements	tests only	parity fixture, not epoch content
balance/testdata/active-play-foundation-v1.json	test_fixture	activeplay	tests only	foundation fixture, not epoch content
balance/testdata/doctrines-catalog-parity-v1.json	test_fixture	doctrines	tests only	parity fixture, not epoch content
balance/testdata/epoch5/categories.json	historical_fixture	categories	tests only	epoch-5 snapshot, not deploy-current
balance/testdata/epoch5/commons.json	historical_fixture	commons	tests only	epoch-5 snapshot, not deploy-current
balance/testdata/epoch5/economy.json	historical_fixture	economy	tests only	epoch-5 snapshot, not deploy-current
balance/testdata/epoch5/factions.json	historical_fixture	factions	tests only	epoch-5 snapshot, not deploy-current
balance/testdata/epoch5/guilds.json	historical_fixture	guilds	tests only	epoch-5 snapshot, not deploy-current
balance/testdata/epoch5/prestige.json	historical_fixture	prestige	tests only	epoch-5 snapshot, not deploy-current
balance/testdata/epoch5/routes.json	historical_fixture	routes	tests only	epoch-5 snapshot, not deploy-current
balance/testdata/first-content/achievements-v1.json	candidate_fixture	achievements	tests/harness only	first-content fixture, not deploy-current path
balance/testdata/first-content/categories-v1.json	candidate_fixture	categories	tests/harness only	first-content fixture, not deploy-current path
balance/testdata/first-content/doctrines-v1.json	candidate_fixture	doctrines	tests/harness only	first-content fixture, not deploy-current path
balance/testdata/first-content/economy-v3.json	candidate_fixture	economy	tests/harness only	first-content fixture, not deploy-current path
balance/testdata/first-content/fiscal-v1.json	candidate_fixture	fiscal	tests/harness only	first-content fixture, not deploy-current path
balance/testdata/first-content/meters-v1.json	candidate_fixture	meters	tests/harness only	first-content fixture, not deploy-current path
balance/testdata/first-content/pets-v2.json	candidate_fixture	pets	tests/harness only	first-content fixture, not deploy-current path
balance/testdata/first-content/soul-v1.json	candidate_fixture	soul	tests/harness only	first-content fixture, not deploy-current path
balance/testdata/fiscal-foundation-v1.json	test_fixture	fiscal	tests only	foundation fixture, not epoch content
balance/testdata/invalid/nonpositive-production-rate.json	negative_fixture	economy	tests only	must fail validation
balance/testdata/invalid/resource-log-target-below-floor.json	negative_fixture	economy	tests only	must fail validation
balance/testdata/invalid/unknown-field.json	negative_fixture	economy	tests only	must fail validation
balance/testdata/meters-catalog-parity-v1.json	test_fixture	meters	tests only	parity fixture, not epoch content
balance/testdata/meters-transition-v1.json	test_fixture	meters	tests only	transition fixture, not epoch content
balance/testdata/minigame-api-candidate-v1.json	candidate_fixture	minigame_api	tests/harness only	candidate fixture, not deploy-current path
balance/testdata/permits-t3-gate-candidate-v1.json	candidate_fixture	permits/routes	tests/harness only	candidate fixture; accepted crossing witness still missing
balance/testdata/pitch-v1.json	test_fixture	pitch	tests only	cross-runtime fixture, not epoch content
balance/testdata/t0-t1/categories-v1.json	candidate_fixture	categories	tests/harness only	T0-T1 fixture, not deploy-current path
balance/testdata/t0-t1/curriculum-v1.json	historical_fixture	curriculum	tests only	superseded fixture
balance/testdata/t0-t1/curriculum-v2.json	candidate_fixture	curriculum	tests/harness only	T0-T1 fixture, not deploy-current path
balance/testdata/t0-t1/economy-v4.json	candidate_fixture	economy	tests/harness only	T0-T1 fixture, not deploy-current path
balance/testdata/t0-t1/event-copy-v1.json	historical_fixture	copy_presentation	tests only	superseded fixture
balance/testdata/t0-t1/event-copy-v2.json	candidate_fixture	copy_presentation	tests/harness only	generated presentation input, not epoch artifact
balance/testdata/t0-t1/first-hour-policy-v1.json	measurement_fixture	first_hour	harness only	measurement policy, not runtime content
balance/testdata/t0-t1/harness-scenario-v1.json	measurement_fixture	harness	harness only	measurement scenario, not runtime content
balance/testdata/t0-t1/opportunities-v1.json	candidate_fixture	opportunities	tests/harness only	T0-T1 fixture, not deploy-current path
balance/testdata/t0-t1/presentation-v1.json	historical_fixture	presentation	tests only	superseded fixture
balance/testdata/t0-t1/presentation-v2.json	historical_fixture	presentation	tests only	superseded by v3
balance/testdata/t0-t1/presentation-v3.json	candidate_fixture	presentation	Game UI generated mapping input	generated input, not epoch artifact
balance/testdata/t0-t1/relevance-policy-t0-v2.json	measurement_fixture	relevance	harness only	measurement policy, not runtime content
balance/testdata/t0-t1/relevance-policy-t1-v2.json	measurement_fixture	relevance	harness only	measurement policy, not runtime content
balance/testdata/t0-t1/relevance-scenario-t1-v2.json	measurement_fixture	relevance	harness only	measurement scenario, not runtime content
balance/testdata/t0-t1/relevance-scenario-v2.json	measurement_fixture	relevance	harness only	measurement scenario, not runtime content
balance/testdata/t0-t1/routes-v1.json	candidate_fixture	routes	tests/harness only	T0-T1 fixture, not deploy-current path
