unit_id	artifact	family	json_pointer	unit_kind	authored_identity	payload_sha256
balance/achievements/first-content.json#/achievements/0	balance/achievements/first-content.json	achievements	/achievements/0	object_record	achievement.career_attended_day	295cea8dd57d3dbcf130276346d377cc91e0b9a2853d67f3bae6185d0c9391d3
balance/achievements/first-content.json#/achievements/0/condition	balance/achievements/first-content.json	achievements	/achievements/0/condition	nested_object	object:/achievements/0/condition	d8e84f23fc5445fc24784cf6734ad9873783db014a74a8fddf819854e768f953
balance/achievements/first-content.json#/achievements/0/proof	balance/achievements/first-content.json	achievements	/achievements/0/proof	nested_object	object:/achievements/0/proof	5cef9d19a3b898eafc9325b45ad039b7f0759d88bba68e1c7dd8a7ab307ff9d6
balance/achievements/first-content.json#/achievements/0/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/0/proof/event_kinds/0	primitive_edge	"founder_advanced"	7f918fffe6e6bed39dba721986a36d965fbdb60aea6e89f107b2a5795fabf5d4
balance/achievements/first-content.json#/achievements/1	balance/achievements/first-content.json	achievements	/achievements/1	object_record	achievement.career_attended_hour	21c2f7741b872f7bfd92fc8607fc8c8b5a39f9fdccf39f9ed1a8554becae7c5f
balance/achievements/first-content.json#/achievements/1/condition	balance/achievements/first-content.json	achievements	/achievements/1/condition	nested_object	object:/achievements/1/condition	0effadf9dc76ecc9806d3a92df19f6500ea738fca5a6edfe01e7cdd6d4dd6df5
balance/achievements/first-content.json#/achievements/1/proof	balance/achievements/first-content.json	achievements	/achievements/1/proof	nested_object	object:/achievements/1/proof	5cef9d19a3b898eafc9325b45ad039b7f0759d88bba68e1c7dd8a7ab307ff9d6
balance/achievements/first-content.json#/achievements/1/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/1/proof/event_kinds/0	primitive_edge	"founder_advanced"	7f918fffe6e6bed39dba721986a36d965fbdb60aea6e89f107b2a5795fabf5d4
balance/achievements/first-content.json#/achievements/2	balance/achievements/first-content.json	achievements	/achievements/2	object_record	achievement.exit_count_5	f90aef2c54528a87e36fa40290c75f147c96f653d7e8b8204cf736fe09a010c2
balance/achievements/first-content.json#/achievements/2/condition	balance/achievements/first-content.json	achievements	/achievements/2/condition	nested_object	object:/achievements/2/condition	513bbf26827d1eb30007c9e3fafabdaf7c53341bcefac9ea4d5d98e800ad27fd
balance/achievements/first-content.json#/achievements/2/proof	balance/achievements/first-content.json	achievements	/achievements/2/proof	nested_object	object:/achievements/2/proof	1ae3faa2733f5fc3be3e49128d74eafb2d8773e1f78659636cdfd87b7eb29af5
balance/achievements/first-content.json#/achievements/2/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/2/proof/event_kinds/0	primitive_edge	"founder_advanced"	7f918fffe6e6bed39dba721986a36d965fbdb60aea6e89f107b2a5795fabf5d4
