target	category	tracked_or_external_mutation	ci_consumer	current_evidence_state	evidence_limit_or_gap
setup	setup	external_dependencies+browsers	none	not_a_gate	installs packages/browser binaries
install-browsers	setup	external_browser_binaries	none	not_a_gate	local setup only
install-browsers-ci	setup	external_system+browser_binaries	browser jobs	not_a_gate	CI setup only
test	aggregate	none	none	unverified_aggregate	includes all Go/client/browser populations; no current complete verdict
test-go	go_test	none	local/selectors	parameterized	default all packages includes long harness; use cold count explicitly
test-go-core	go_test	none	server job	bounded_valid	excludes harness by package name; cold count controlled
test-harness	go_test	none	harness job	bounded_valid	package tests only; not complete harness measurement
test-go-ci	docker_go_test	containers/db	local reproduction	bounded_valid	full cold server package population in Docker
test-save-integration	docker_go_test	containers/db	local/selectors	partial	unquoted SAVE_TEST_FLAGS rejects parenthesized regex selectors (RP-025)
validate-migrations	docker_go_test	containers/db	none	bounded_valid	current chain/integration green; does not isolate semantic Down restoration
test-client	client_test	none	verify-client	bounded_valid	unit/parity population; many modules are not production consumers
test-browser	browser_test	ignored screenshots	browser job	partial	green declared viewport; focus/reflow and copy behavior gaps survive
test-browser-ci	docker_browser	containers+ignored screenshots	local reproduction	partial	same browser oracle limits inside Docker
test-game-ui-composed	browser_integration	containers/db	game-ui-composed job	bounded_valid	bootstrap/Desk/WebSocket witness only
test-game-ui-performance	browser_measurement	ignored screenshots	browser job	partial	count/long-task arm only; throttle/dropped-frame claim absent
typecheck	compile_check	none	client job	bounded_valid	compile contract, not runtime workflow
build-client	build	ignored client/dist	client job	bounded_valid	build/source-map proof only
build-gameserver	build	ignored .cache/bin	none	bounded_valid	disk-dependent server binary; not release package
vectors	generator	tracked decimal vectors	none	mutator	intentional source generation
vectors-check	generation_check	generator then diff	numeric-maintenance	bounded_valid	working-tree drift check
vectors-check-ci	docker_generation_check	containers+generator then diff	none	bounded_valid	architecture parity plus drift
replay-fixture	generator	tracked replay fixture	none	mutator	intentional golden update
replay-fixture-check	go_test	none	none	bounded_valid	one cross-runtime fixture
pitch-corpus	generator	tracked Pitch corpus	none	mutator	intentional corpus update
pitch-corpus-check	go_test	none	verify-server	bounded_valid	Pitch content gate only
formulas	generator	tracked generated formulas	none	mutator	intentional documentation generation
formulas-check	generation_check	generator then diff	server job	bounded_valid	formula drift only
api-generate	generator	tracked API docs/types	none	mutator	covers registry operations only
api-schema	generator_alias	tracked API docs/types	none	mutator	name is not a check; alias of api-generate
api-pin	generator	tracked compatibility pin	none	mutator	intentional compatibility update
api-check	generation_check	generator then diff	server job	partial	green for ten registry operations; eleven hand routes absent
harness	measurement	caller output	none	parameterized	requires output; measurement validity depends on mode/objective fields
harness-check	measurement_gate	none	verify-server/verify-harness	bounded_slow	valid exhaustive local objective; no longer assigned to push/PR CI
harness-observe	measurement_gate	caller observation	maintenance harness-evidence	bounded_pending	full objective emits fail-loud progress; first hosted artifact pending
harness-observation-check	artifact_validator	none	maintenance harness-evidence	bounded_valid	rejects incomplete/wrong-objective observations
relevance-registered-observe	measurement_gate	caller report+observation	none	parameterized	single registered row cannot masquerade as the complete objective
harness-guard-check	measurement_guard	none	fast harness job	bounded_valid	history/identity guards without expensive simulation
content-harness	measurement	stdout/artifacts by mode	none	bounded_historical	content measurement, not epoch mint authority
epoch7-content-harness	measurement	planning report	none	historical	writes archived-era candidate report
first-content-harness	measurement	planning report	none	historical	writes active-plan report from candidate manifest
first-hour-harness	measurement	planning report	none	authority_blocked	requires five owner-ratified inputs; cannot be run by convenience
t0-t1-role-check	go_test	none	t0-t1-relevance-all	bounded_valid	one candidate role activation test
t0-t1-relevance	measurement	planning report	none	historical_or_manual	long measurement; not current CI
t1-relevance	measurement	planning report	none	historical_or_manual	T1 alias of relevance measurement
relevance-branches	measurement	planning report	none	historical_or_manual	branch diagnostic depends on report identity
t0-t1-branch-check	measurement_aggregate	planning reports	none	historical_or_manual	runs both branch populations
t0-t1-branch-check-from-reports	measurement_aggregate	planning reports	none	historical_or_manual	fast path trusts hash-matched diagnostic inputs
t0-t1-upgrade-check	compatibility_alias	planning reports	none	historical_or_manual	alias name no longer describes branch-wide scope
t0-t1-relevance-all	measurement_aggregate	planning reports	none	historical_or_manual	long historical combined population
relevance-beam	manual_diagnostic	optional output	none	not_a_gate	explicitly excluded from verify/CI/release
commons-harness-check	go_test	none	harness-check	bounded_valid	one population-invariance test
harness-update	generator	tracked harness baselines	none	mutator	must never loosen bounds from incomplete run
epoch-hash	identity_check	none	none	bounded_valid	reproduces current constants hash
game-ui-copy-candidate	generator	tracked copy/presentation inputs+outputs	none	mutator	candidate name belies shipped source boundary
game-ui-copy-candidate-check	generation_check	none	copy-check	bounded_valid	drift check; does not decide candidate adoption
copy-generate	generator	tracked client/server copy+manifest	none	mutator	merges every source catalog including candidates
copy-check	generation_check	none	client job	partial	drift/hash valid; 161-key orphan report is non-discriminating
publication-authority-check	authority_check	none	none	bounded_valid	manifest/public-private boundary plus three negative controls
publication-authority-fresh-clone-check	authority_check	temporary clone	none	bounded_valid	committed public authority reproduces without ignored local files
vet	go_static_check	none	server jobs	bounded_valid	parameterized package population
fuzz	manual_fuzz	none	none	not_a_bounded_gate	no fuzztime; runs until interrupted
fuzz-ci	bounded_fuzz	none	numeric-maintenance	bounded_valid	30-second numeric fuzz window
verify-schema	schema_check	none	schema job	bounded_valid	current schema/catalog structure only
verify-routes-boundary	architecture_check	none	server jobs	bounded_valid	inherits root repository-local Go cache; import enumeration fails closed (RP-099 closed)
