unit_id	artifact	family	json_pointer	unit_kind	authored_identity	loader	runtime_producer	player_consumer	current_reachability	executable_witness	failure_or_limit	verdict	authority_route
balance/achievements/first-content.json#/achievements/0	balance/achievements/first-content.json	achievements	/achievements/0	object_record	achievement.career_attended_day	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/0/condition	balance/achievements/first-content.json	achievements	/achievements/0/condition	nested_object	object:/achievements/0/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/0/proof	balance/achievements/first-content.json	achievements	/achievements/0/proof	nested_object	object:/achievements/0/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/0/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/0/proof/event_kinds/0	primitive_edge	"founder_advanced"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/1	balance/achievements/first-content.json	achievements	/achievements/1	object_record	achievement.career_attended_hour	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/1/condition	balance/achievements/first-content.json	achievements	/achievements/1/condition	nested_object	object:/achievements/1/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/1/proof	balance/achievements/first-content.json	achievements	/achievements/1/proof	nested_object	object:/achievements/1/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/1/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/1/proof/event_kinds/0	primitive_edge	"founder_advanced"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/2	balance/achievements/first-content.json	achievements	/achievements/2	object_record	achievement.exit_count_5	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/2/condition	balance/achievements/first-content.json	achievements	/achievements/2/condition	nested_object	object:/achievements/2/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/2/proof	balance/achievements/first-content.json	achievements	/achievements/2/proof	nested_object	object:/achievements/2/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/2/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/2/proof/event_kinds/0	primitive_edge	"founder_advanced"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/2/proof/event_kinds/1	balance/achievements/first-content.json	achievements	/achievements/2/proof/event_kinds/1	primitive_edge	"run_ended"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/3	balance/achievements/first-content.json	achievements	/achievements/3	object_record	achievement.first_gate	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/3/condition	balance/achievements/first-content.json	achievements	/achievements/3/condition	nested_object	object:/achievements/3/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/3/proof	balance/achievements/first-content.json	achievements	/achievements/3/proof	nested_object	object:/achievements/3/proof	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/3/proof/event_kinds/0	balance/achievements/first-content.json	achievements	/achievements/3/proof/event_kinds/0	primitive_edge	"gate_crossed"	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	backend evaluator active for reachable conditions	cold achievement catalog/evaluation/replay tests	No achievement surface; later-tier and multi-run conditions are overridden below	backend_active	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/4	balance/achievements/first-content.json	achievements	/achievements/4	object_record	achievement.gate_burn_t3	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/4/condition	balance/achievements/first-content.json	achievements	/achievements/4/condition	nested_object	object:/achievements/4/condition	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
balance/achievements/first-content.json#/achievements/4/proof	balance/achievements/first-content.json	achievements	/achievements/4/proof	nested_object	resource_id:company.cash	epochseed/replaycatalog + achievement catalog	achievement evaluator and Clout-grant projection	none mounted	registered condition requires multi-run or absent Tier-3/Tier-5 state	catalog/replay validation only; no reachable current default workflow	Current T0-T1/one-exit content cannot satisfy this condition	backend_registered_dormant	D-007 then accepted Achievement/API/Game UI owner
