id	design_ref	bounded_outcome	preliminary_state	next_evidence_or_route
V-001	design/00 satire thesis	No real-money, ads, or functional monetization	mechanical_presence	dependency/runtime/legal surface audit
V-002	design/00 pillar 1	Idle and active are distinct viable builds	bounded_server_evidence	full milestone/persona relevance trace
V-003	design/00 pillar 2	Every multiplayer feature has honest AI/solo fallback	mechanical_fragments	per-feature producer/consumer/fallback matrix
V-004	design/00 pillar 3	Reach a designed ending with choice and leaderboard	absent	D-001/D-007 plus tier/endgame RFC DAG
V-005	design/00 pillar 4	Each tier introduces a new grammar and automates the prior tier	absent_beyond_t1	stable tier capability traces
V-006	design/00 pillar 5	Systems use distinct clocks	mechanical_fragments	clock/persistence/offline workflow audit
V-007	design/00 pillar 6	Free, minimal disclosed gameplay telemetry, curtain-pulled dark patterns	claimed_and_partial	privacy/telemetry/honesty appendix release audit
V-008	design/00 pillar 7	Server authority and published community formulas	bounded_server_evidence	public consumer/formula proof
V-009	design/00 anti-goals	Browser-first, mobile-usable, no softcaps/wiki dependence/unearned edge	partial	accessibility/mobile/formula/fallback audits
T-000	design/01 Tier 0	Manual action, first generators, honest 1995 UI, tutorial satire	partial_browser_integration	full first-session workflow
T-001	design/01 Tier 1	Generator economy, upgrades, buy-order play, automation and free shop satire	partial_browser_integration	full first-hour workflow and content trace
T-002	design/01 Tier 2	Headcount allocation, Soul, factions, minigames, first elective Exit	absent_beyond_foundations	content/RFC DAG
T-003	design/01 Tier 3	Cloud tenant market, enshittification, daemons and named minigames	absent_beyond_foundations	content/RFC DAG
T-004	design/01 Tier 4	Region draft, physical constraints, addressed Externality	absent	world/content/RFC DAG
T-005	design/01 Tier 5	Research allocation, model collapse, p(doom), conspiracy	absent	content/RFC DAG
T-006	design/01 Tier 6	Policies, founder mortality, billionaire and Soul choices	absent	content/RFC DAG
T-007	design/01 Tier 7	Optimization fold, TAS, transcendence choice	absent	content/RFC DAG
T-008	design/01 Tier 8	Planet-depletion endgame	absent	world/endgame RFC DAG
T-009	design/01 endings	Ascension, Long Decay, Both Graphs and variants	absent	owner release scope plus verified content contracts
T-010	design/01 prestige	Tier-flavored Exits inside a completable multi-run arc	bounded_t0_t1_only	Prestige closeout plus later-tier content
E-001	design/02 §1	Company/Founder/World/Guild persistence scopes	mechanical_fragments	per-scope persistence and consumer audit
E-002	design/02 §2.1	Declarative geometric generator costs and bulk affordability	proven_bounded	preserve golden/cold witnesses
E-003	design/02 §2.2	Ordered, visible, hardcapped production stack	partial	all named multiplier producers and formula UI
E-004	design/02 §2.3	Active buff windows, bank formula, validated clicks and daemons	partial	active-play plus missing daemons/UI trace
E-005	design/02 §2.4	90%/24h authoritative offline gains	proven_bounded	browser return presentation pending
E-006	design/02 §2c	Mandatory sinks, cap-minted currencies and achievement proof modes	partial	catalog/economy/achievement audit
E-007	design/02 §3	Reputation/Network/Route Knowledge/Clout/Wealth/Age founder layer	partial	per-currency producer/consumer workflow
E-008	design/02 §3.3	Offer, Wind Down and IPO Exit paths	partial	T0-T1 scripted offer only; broader content absent
E-009	design/02 §4	Planet, milestones, guild tithe and Influence	mechanical_fragments	world/player consumers absent
E-010	design/02 §5	Production-immune Fiscal Quarter lifecycle	backend_fragment	player ritual/UI proof
E-011	design/02 §6	Single-mint Clout and social/achievement reach economy	mechanical_fragment	mint ownership and player consumers
E-012	design/02 §7	Visible Trust/Soul plus addressed Externality; facts gate routes	mechanical_fragment	full moral content and decorrelation gate
E-013	design/02 §8	Soul drains, zero-output recovery and endgame consequence	backend_fragment	player recovery surface and endgame
E-014	design/02 §9	Compute Credits and optional return bonus	mechanical_fragment	HUD/auto-spend/return workflow
E-015	design/02 §10	Non-punitive daily/weekly clocks and exchange shop	absent	future accepted RFCs
E-016	design/02 §11	Pacing targets through first ending	proven_t0_t1_only	R-001 plus later-tier scenarios
E-017	design/02 §11b	Every purchasable retains a measured role	bounded_t0_t1_evidence	R-001 current-head validity
E-018	design/02 §12	Cross-runtime big-number parity and canonical strings	proven_integration	preserve golden vectors
M-001	design/03 contract	Every minigame has clock, economy hook, fallback, stagger and persistence	claimed_framework	per-minigame implementation matrix
M-002	design/03 §1	Server Garden	absent	future RFC
M-003	design/03 §2	Advisory Board	absent	future RFC
M-004	design/03 §3	Ship-It Spellbook	absent	future RFC
M-005	design/03 §4	The Market	absent	future RFC
M-006	design/03 §5	Board-game suite, flat ranked layer and bot matchmaking	absent	research/license checks and future RFC
M-007	design/03 §5b	Regional/social parlor taxonomy	absent	milestone/content decisions and RFC graph
M-008	design/03 missing §5c	Zero-reward cozy minigames as sole Soul recovery source	contradictory_missing_section	RP-017 author reconciliation
M-009	design/03 §6	Incident Response	absent	future RFC
M-010	design/03 §7	Terminal Typer	absent	future RFC
M-011	design/03 §8	Demo Disc Arcade	static_parody_fragment	RP-017 plus actual minigame/content RFC
M-012	design/03 §9	Bakery Inc.	absent	future RFC
M-013	design/03 §10	The Lane	arithmetic_only	combat parent/child RFCs
M-014	design/03 §10b	Pet battles	arithmetic_only	combat parent/child RFCs
M-015	design/03 §12a	Non-punitive five-minute daily scaffold	absent	future RFC
M-016	design/03 §12b	Frozen scaling inputs, fairness and offline quality	backend_fragment	platform body reconciliation and player consumers
M-017	archived Pitch RFC/The Pitch design seam	The Pitch full player minigame	backend_proven_surface_absent	Minigame API Surface MA-C9
P-001	design/04 §1	Founder companion acquisition, offline care, behavior, visible state and bond	backend_policy_fragment	acquisition and UI workflow RFC
P-002	design/04 §2	Hardcapped pet battles with care reliability and honest bots	arithmetic_only	combat RFC sequence
P-003	design/04 §3	Cosmetic house and visits	absent	future RFC
P-004	design/04 §4	Free lootbox/cosmetic parody with disclosures	copy_static_fragment	catalog/acquisition/UI/legal proof
P-005	design/04 §5	Cosmetic breeding and elder retirement	absent	future RFC
P-006	design/04 §6	CSS creature rendering and reduced motion	absent	client/rendering RFC
S-001	design/05 §1	Global milestones, contribution, failure and NPC scaling	structural_fragments	World/Events accepted RFCs and telemetry research
S-002	design/05 §2	Live feed, counters, ghosts and NPC activity	transport_fragment	Feed/World UI and real content
