id	player_workflow	backend_producer	production_client_consumer	real_data_or_default_path	current_witness	verdict	exact_gap_or_route
CWF-001	first visit and anonymous bootstrap	POST /api/v1/bootstrap	GameUIApp.beginAttempt/runtime.bootstrap	current epoch bootstrap snapshot to Desk	composed server test plus browser bootstrap flow	proven_bounded	credential disclosure/recovery still absent
CWF-002	return with valid stored credentials	GET /api/v1/founder/state	GameUIApp onMount/ShellRuntime	localStorage credentials v1 and snapshot v2	runtime/browser tests	partial	access expiry and account replacement failure states unresolved
CWF-003	manual production action	POST /api/v1/intents	GameUIApp.act/runtime.intent	current economy/manual-action row	first-hour composed plus browser fixtures	proven_bounded	no durable retry/offline intent queue
CWF-004	buy generator or upgrade	POST /api/v1/intents	GameUIApp Desk controls	current economy/catalog snapshot rows	composed first-hour/browser evidence	proven_bounded	only T0-T1 content is player-reachable
CWF-005	observe gate crossing and split	WebSocket gate_crossed event	GameUIApp.consumePublication	current route/gate events	runtime/event/timing tests	partial	event display exists; Gate/Route Registry controls and history absent
CWF-006	receive and accept Exit offer	WebSocket event plus POST /api/v1/intents	Offer Sheet in GameUIApp	prestige offer projection and copy	component/browser fixtures plus backend composition	partial	no single real browser producer-to-surface witness; focus transition fails
CWF-007	view Run End and continue	WebSocket run_ended event	RunEndSurface	prestige terms/current epoch copy	component/browser fixtures	partial	no next-run/New Founder continuation workflow
CWF-008	open Settings	Game UI snapshot only	Settings branch in GameUIApp	static save/account copy	browser surface fixture	mechanical_only	no recovery/export/delete/logout/import controls; offline copy false
CWF-009	receive normal realtime publications	/connection/websocket	game-ui/runtime subscribe	player and world channels	server composition plus client runtime tests	partial	server and client halves are not one browser-composed witness
CWF-010	recover cursor gap or malformed publication	historical events/snapshot primitives	generic resync_required branch	transport policy/current channels	unit/component tests	partial	production client sends no cursor, consumes no historical recovery page
CWF-011	see server drain/restart state	server_restarting system frame	GameUI drain notice	transport copy/policy	component and server transport tests	partial	no end-to-end browser drain/reconnect proof
CWF-012	recover malformed/missing browser credentials	account/session primitives	none	malformed/empty localStorage population	desired-behavior trace in account-rights audit	absent	silently creates replacement account or strands UI; D-005/R-003
CWF-013	refresh expired access token	POST /api/v1/session/refresh	none	stored refresh token	backend integration only	backend_only	production runtime stores but never calls refresh
CWF-014	play while provider/server unavailable	none for local gameplay	generic offline flag only	no local gameplay state or queue	release source trace	absent	accepted outage-fallback authority/body and implementation required
CWF-015	recover/import/export/delete account	account backend primitives; export absent	none	account/founder stores	backend integration and release trace	backend_only	D-005/D-008/D-009 plus accepted Account/Settings workflow
CWF-016	start a New Founder	POST /api/v1/founder	none	Founder/run genesis backend	backend integration only	backend_only	no ruled player continuation/control
CWF-017	play The Pitch	four minigame API operations	none	first-content minigame plus Pitch catalog	composed backend lifecycle	backend_only	generated types but no HTTP client/components/surface contract
CWF-018	perform Soul recovery	four Soul recovery operations	none	Soul activities and recovery sessions	composed backend lifecycle	backend_only	no activity/progress/cancel/finish player surface
CWF-019	join/use a guild	POST /api/v1/guild/intents	none	guild/Commons catalogs	composed backend lifecycle	backend_only	no guild player controls or state reader
CWF-020	browse leaderboards/epochs/routes	board/route projections; no public reader	none	current epoch/categories/routes	backend projection tests	backend_only	API reader and player registry/history surfaces absent
CWF-021	observe world population	world WebSocket snapshot/presence	visitor counter only	world channel	server/client unit evidence	partial	no broader World/Commons public/player surface
CWF-022	use pets/factions/fiscal/doctrines/meters/achievements/active play	backend domains and catalogs	none	live declarative families	package/parity tests	backend_only	client libraries are outside entry graph and no surfaces exist
CWF-023	use reduced-motion preference	CSS media query	GameUI theme tokens	client-shell/theme catalogs	theme/component tests	partial	numeric Shell motion remains false-default and live preference changes ignored
CWF-024	complete Desk at 320 px / zoom	Game UI projection	GameUIApp CSS/layout	complete Desk fixture	temporary three-engine desired-behavior probe	failed	647 px content in 320 px viewport; accepted accessibility/layout contract needed
CWF-025	retain context across lifecycle surface replacement	Offer/Run End events	GameUINavigation/GameUIApp	Desk to Offer/Run End fixtures	temporary three-engine focus probe	failed	focus drops to body; accepted focus/announcement contract needed
