capability_id	parent_id	design_ref	user_outcome	parent_preliminary_state	parent_route
V-001.01	V-001	design/00 satire thesis	Play without real-money purchase or payout paths	mechanical_presence	dependency/runtime/legal surface audit
V-001.02	V-001	design/00 satire thesis	Play without advertising	mechanical_presence	dependency/runtime/legal surface audit
V-001.03	V-001	design/00 satire thesis	Play without functional NFT or token monetization	mechanical_presence	dependency/runtime/legal surface audit
V-002.01	V-002	design/00 pillar 1	Progress through a viable idle build	bounded_server_evidence	full milestone/persona relevance trace
V-002.02	V-002	design/00 pillar 1	Progress through a viable active build	bounded_server_evidence	full milestone/persona relevance trace
V-002.03	V-002	design/00 pillar 1	Choose genuinely different idle and active verbs	bounded_server_evidence	full milestone/persona relevance trace
V-003.01	V-003	design/00 pillar 2	Use a bot fallback for global milestone participation	mechanical_fragments	per-feature producer/consumer/fallback matrix
V-003.02	V-003	design/00 pillar 2	Use a bot fallback for guild-dependent play	mechanical_fragments	per-feature producer/consumer/fallback matrix
V-003.03	V-003	design/00 pillar 2	Use a bot fallback for direct PvP	mechanical_fragments	per-feature producer/consumer/fallback matrix
V-003.04	V-003	design/00 pillar 2	Use a bot fallback for each multiplayer minigame	mechanical_fragments	per-feature producer/consumer/fallback matrix
V-003.05	V-003	design/00 pillar 2	See every bot identified honestly	mechanical_fragments	per-feature producer/consumer/fallback matrix
V-003.06	V-003	design/00 pillar 2	Run every bot through the same validation rules as a human	mechanical_fragments	per-feature producer/consumer/fallback matrix
V-004.01	V-004	design/00 pillar 3	Reach a designed terminal ending	absent	D-001/D-007 plus tier/endgame RFC DAG
V-004.02	V-004	design/00 pillar 3	Choose among three terminal endings	absent	D-001/D-007 plus tier/endgame RFC DAG
V-004.03	V-004	design/00 pillar 3	Submit a completed run to a leaderboard	absent	D-001/D-007 plus tier/endgame RFC DAG
V-005.01	V-005	design/00 pillar 4	Encounter a distinct mechanic grammar at each tier	absent_beyond_t1	stable tier capability traces
V-005.02	V-005	design/00 pillar 4	Have each new tier automate prior-tier work	absent_beyond_t1	stable tier capability traces
V-006.01	V-006	design/00 pillar 5	Use attended-time mechanics	mechanical_fragments	clock/persistence/offline workflow audit
V-006.02	V-006	design/00 pillar 5	Use wall-clock mechanics	mechanical_fragments	clock/persistence/offline workflow audit
V-006.03	V-006	design/00 pillar 5	Use fixed-budget or swap-clock mechanics	mechanical_fragments	clock/persistence/offline workflow audit
V-006.04	V-006	design/00 pillar 5	Use production-immune Fiscal time	mechanical_fragments	clock/persistence/offline workflow audit
V-007.01	V-007	design/00 pillar 6	Play without paid FOMO or absence cost	claimed_and_partial	D-016 then R-009 plus privacy/telemetry/honesty appendix release audit
V-007.02	V-007	design/00 pillar 6	See every parodied dark pattern disclosed	claimed_and_partial	D-016 then R-009 plus privacy/telemetry/honesty appendix release audit
V-007.03	V-007	design/00 pillar 6	Have gameplay telemetry minimized	claimed_and_partial	D-016 then R-009 plus privacy/telemetry/honesty appendix release audit
V-007.04	V-007	design/00 pillar 6	See collected gameplay telemetry disclosed	claimed_and_partial	D-016 then R-009 plus privacy/telemetry/honesty appendix release audit
V-008.01	V-008	design/00 pillar 7	Have production results decided server-side	bounded_server_evidence	public consumer/formula proof
V-008.02	V-008	design/00 pillar 7	Read published community/contribution formulas	bounded_server_evidence	public consumer/formula proof
V-009.01	V-009	design/00 anti-goals	Play in a browser	partial	accessibility/mobile/formula/fallback audits
V-009.02	V-009	design/00 anti-goals	Complete core play on a mobile-width viewport	partial	accessibility/mobile/formula/fallback audits
