family_id	row_count_or_closed_values	authority	producer_and_persistence	production_consumer	truth_class	exact_limit_or_route
player_event_kinds	48 closed EventKind values	server/save/intent.go AllEventKinds	Company/Founder transitions plus route/Commons/Soul projection writes persist events and DB outbox triggers publish them	store/replay validators; route Commons guild leaderboard projectors; transport player relay	bounded_backend	registry breadth is not player surface breadth; two Soul debit kinds remain dormant until owner-authored epoch sources exist
player_outbox_message_kinds	2 receipt,event	migration 00040 check plus save/outbox.go	intent/event transactions insert ordered transport_player_outbox rows	PlayerRelay publishes player channel; dead letters log invariants and event failure attempts resync	bounded_backend	browser has no persisted recovery position and typed dead-letter/operator surface is absent
transport_envelope_kinds	5 receipt,snapshot,event,presence,system	server/transport/wire.go knownKind	PlayerRelay GuildPresenceRelay WorldAggregator drain/resync producers	Centrifuge channels; production Game UI handles all top-level kinds but only bounded payload subsets	bounded_protocol	kind validity does not prove every channel producer/consumer pair
transport_system_codes	3 server_restarting,history_expired,resync_required	server/transport/wire.go validatePayload	drain emits server_restarting; relay dead-letter emits resync_required; no production history_expired producer	Game UI handles restarting/resync and treats history-expired/unrecoverable subscribe as authoritative full sync	integrated_with_reserved_code	history_expired remains structurally reserved with no direct production emitter; Q-003 recovery approved 249719c
transport_disconnect_codes	5 queue_overflow,auth_expired,replaced,server_drain,invalid_frame	server/transport/wire.go constants and node.go disconnect values	Node queue/auth/connection/drain/frame boundaries	Game UI full-syncs 4000/4004, delays 4003 recovery, stops 4001/4002, and reconnects abnormal closes	integrated_with_account_gap	Q-003 approved 249719c; RP-048 still requires access-token rotation rather than terminal expiry
game_ui_lifecycle_wire_kinds	6 gate_crossed,exit_offer_spawned,exit_offer_declined,exit_offer_expired,exit_offer_resolved,run_ended	client/src/game-ui/events.ts	player event envelopes from committed save events	GameUIApp splits Offer Sheet Run End and offer clearing	partial	42 other registered player event kinds have no Game UI lifecycle decoder; only named default workflows receive capability credit
guild_domain_event_kinds	7 guild_created,member_joined,member_left,role_changed,guild_disbanded,exchange_cleared,guild_xp_accrued	scattered guild SQL write sites; no closed Go registry	guild intents deletion sweep clearing and tithe projector persist guild_events	backend history/projection only; no production HTTP reader/client surface	backend_only	central closed authority and player consumer belong to accepted guild/API/UI successors
guild_presence_kinds	2 joined,left	migration 00025 check and guild intents	guild_presence_outbox to GuildPresenceRelay	guild channel publication; no production client subscription	backend_only	mechanically composed producer without player consumer
replay_verdicts	6 verified,log_gap,state_divergence,constants_mismatch,clock_violation,engine_mismatch	server/production/verifier.go	verification worker persists archive or dead-letter and projects verified run	leaderboard repository/projector and invariant log sink	bounded_backend	no player/operator queue/dead-letter/board reader
projection_idempotency_ledgers	5 route,route_hint,Commons,guild,verification event ledgers	migrations 00003,00005,00014,00027 and projector code	post-commit projectors insert event IDs before derived state	projector replay/idempotency guards	bounded_backend	current synchronous projection failures can fail intents after event commit; recovery/read surfaces remain system-specific
runtime_invariant_kinds	3 player_message_dead_letter,player_resync_signal_failed,verification_poison_dead_letter	transport relay and replay verification repositories	failure paths call logInvariantSink	structured slog only	partial	no metrics exporter alert dashboard or operator API; routed through RP-085
