runtime_id	kind	runtime_instances_or_state	owner_and_trigger	data_or_message_boundary	shutdown_and_failure_boundary	witness	truth_class	exact_gap_or_route
http_listener	goroutine	1	cmd/gameserver after composition Start	http.Server serves gameserver Handler	main waits for listener error/context/runtime failure then drains and shuts down	server/cmd/gameserver/main.go	bounded_runtime	HTTP connection goroutines are standard-library-owned and outside the explicit source count
context_cancellation_monitor	goroutine	1	gameserver Server.Start waits on root context	sets running false and readiness false	returns after root context cancellation; main owns drain	server/gameserver/server.go	bounded_runtime	monitor does not itself stop jobs/relay; coordinated main drain is required
player_outbox_relay	goroutine	1	gameserver Server.Start at 25ms cadence	claims transport_player_outbox and publishes receipt/event envelopes	cancelled during drain; transient flush error lowers readiness but loop retries	server/gameserver/server.go; server/transport/relay.go; server/gameserver/server_test.go	bounded_backend	production Game UI decodes only six lifecycle event kinds and has no recovery cursor binding
background_job_waiter	goroutine	1	gameserver startJobs after six jobs launch	waits for all attached jobs and closes jobsDone	terminates after all jobs stop	server/gameserver/server.go; server/gameserver/server_test.go	bounded_runtime	coordination-only; not a gameplay worker
world_aggregator	background_job_goroutine	1	prime at startup then transport policy WorldHz	queries DB/world source and emits versioned world snapshot	error cancels all jobs and reports runtime failure	server/gameserver/world.go; server/gameserver/world_test.go; server/gameserver/composition_integration_test.go	bounded_backend	planet and milestone sources remain zero until their RFCs
replay_verification	background_job_goroutine	1	prime at startup then every 100ms; max 64 queue rows per pass	claims verification queue; replays; archives; projects boards	error cancels all jobs and reports runtime failure	server/gameserver/composition.go; server/replayverify/repository_integration_test.go	bounded_backend	no player/public board reader; queue poison routes only to logs/dead-letter tables
guild_presence_relay	background_job_goroutine	1	prime at startup then every 25ms	claims guild_presence_outbox and publishes aggregate presence	error cancels all jobs and reports runtime failure	server/gameserver/composition.go; server/transport/guild_presence_test.go	bounded_backend	no production client guild-channel consumer
guild_clearing	background_job_goroutine	1	prime at startup then catalog ClearingIntervalMS	pages active guilds and commits deterministic clearing boundaries	error cancels all jobs; ordinary snapshot churn retries then defers	server/gameserver/clearing.go; server/gameserver/clearing_test.go; server/gameserver/composition_integration_test.go	bounded_backend	no player guild workflow/read surface
guild_disband_sweep	background_job_goroutine	1	prime at startup then hourly	sweeps disbanded/below-floor guild state in batches of 64	error cancels all jobs and reports runtime failure	server/gameserver/composition.go; server/guild/intents_integration_test.go	bounded_backend	no operator metrics/report consumer
credential_gc	background_job_goroutine	1	prime at startup then every minute	prunes expired sessions then bootstrap credential ciphertext; limit 1000	error cancels all jobs and reports runtime failure	server/gameserver/jobs.go; server/gameserver/jobs_test.go; server/account/bootstrap_integration_test.go	bounded_backend	separate player/save retention schedules remain absent
transport_world_coalescer	goroutine	1	transport Node.Run at policy WorldHz	flushes latest pending world envelope to Centrifuge history/cache	Node shutdown closes stop and waits for done	server/transport/node.go; server/transport/node_test.go; server/transport/soak_test.go	bounded_runtime	second world-stage loop means design/06 one-World-goroutine statement is not literal runtime truth
centrifuge_runtime	external_runtime	opaque	transport Node.Run invokes embedded centrifugal/centrifuge	connection hub; publication; recovery/history	Node Shutdown delegates to dependency	server/transport/node.go; server/transport/node_test.go	mechanical_dependency	internal dependency goroutines are not enumerated by repository source and receive no exact-count claim
player_actor	declared_architecture	absent	design/06 binding concurrency model claims goroutine per player	intended player command/state ownership	no implemented lifecycle or mailbox exists	design/06-tech.md:10; no production actor type/launch site	contradicted	owner/ruling-author architecture reconciliation and accepted actor/composition RFC; do not infer from transactional HTTP handlers
world_actor	declared_architecture	contradicted	design/06 claims one World goroutine	world aggregation plus publication coalescing	implemented as world_aggregator job and transport_world_coalescer	design/06-tech.md:10; server/gameserver/world.go; server/transport/node.go	contradicted	ruling-author reconciles one-goroutine wording to the accepted/runtime two-stage model or specifies a buildable consolidation
match_actor	declared_architecture	absent_and_deferred	design/06 claims one Match goroutine per minigame	intended live match authority	Minigame Platform defers live PvP actor lifecycle to a successor	design/06-tech.md:10; rfc/minigame-platform-foundation.md:603	qualified_deferred	ruling-author design reconciliation; accepted PvP Match Service RFC before implementation
matchmaker	declared_architecture	absent_and_deferred	design/06 claims one Matchmaker goroutine	intended queue/Elo/bot-backfill authority	no production type/launch site; platform RFC defers matchmaking	design/06-tech.md:45; rfc/minigame-platform-foundation.md:603	qualified_deferred	accepted PvP Match Service RFC with bot fallback and evidence
intent_record_retention	missing_background_job	absent	docs/save-layer claims deployment scheduler invokes 30-day prune	Store.PruneIntentRecords primitive has no production caller	no shutdown/failure owner	server/save/intent.go:539; planning/platform-alignment/operations-retention-preservation-audit.md	contradicted_retention_claim	RP-086 owner retention ruling plus accepted bounded cleanup worker and metrics
route_name_expiry	missing_background_job	absent	docs/routes promises unused 72-hour reservations expire	Projector.ExpireNames has no production or test caller	no cadence/shutdown/failure owner	server/routeprojection/projector.go:441; docs/routes.md:90	contradicted_lifecycle_claim	RP-104 accepted Route Registry lifecycle worker with clock/cadence/batch/failure contract and demonstrated expiry fixture
