capability_id	parent_id	design_ref	user_outcome	actor	producer	consumer	current_data	default_workflow	executable_witness	failure_or_refusal	verdict	authority_route	evidence_limit
V-001.01	V-001	design/00 satire thesis	Play without real-money purchase or payout paths	player	dependency manifests and repository source	browser/server build	no payment/ad/NFT configuration or SDK	partial current path for: Play without real-money purchase or payout paths	static repository/dependency audit	named limitation prevents the larger claim	partial_integration	dependency/runtime/legal surface audit	No prohibitive regression gate; absence at one coordinate is not a forever guarantee
V-001.02	V-001	design/00 satire thesis	Play without advertising	player	dependency manifests and repository source	browser/server build	no payment/ad/NFT configuration or SDK	partial current path for: Play without advertising	static repository/dependency audit	named limitation prevents the larger claim	partial_integration	dependency/runtime/legal surface audit	No prohibitive regression gate; absence at one coordinate is not a forever guarantee
V-001.03	V-001	design/00 satire thesis	Play without functional NFT or token monetization	player	dependency manifests and repository source	browser/server build	no payment/ad/NFT configuration or SDK	partial current path for: Play without functional NFT or token monetization	static repository/dependency audit	named limitation prevents the larger claim	partial_integration	dependency/runtime/legal surface audit	No prohibitive regression gate; absence at one coordinate is not a forever guarantee
V-002.01	V-002	design/00 pillar 1	Progress through a viable idle build	player	production/offline and active-play kernels	Game UI Desk for manual/economy; no opportunity UI	epoch-8 economy/opportunities	partial current path for: Progress through a viable idle build	cold T0-T1 server/harness plus browser Desk	named limitation prevents the larger claim	partial_integration	full milestone/persona relevance trace	Idle slice is stronger than active-build breadth; no complete persona comparison
V-002.02	V-002	design/00 pillar 1	Progress through a viable active build	player	production/offline and active-play kernels	Game UI Desk for manual/economy; no opportunity UI	epoch-8 economy/opportunities	partial current path for: Progress through a viable active build	cold T0-T1 server/harness plus browser Desk	named limitation prevents the larger claim	partial_integration	full milestone/persona relevance trace	Idle slice is stronger than active-build breadth; no complete persona comparison
V-002.03	V-002	design/00 pillar 1	Choose genuinely different idle and active verbs	player	production/offline and active-play kernels	Game UI Desk for manual/economy; no opportunity UI	epoch-8 economy/opportunities	partial current path for: Choose genuinely different idle and active verbs	cold T0-T1 server/harness plus browser Desk	named limitation prevents the larger claim	partial_integration	full milestone/persona relevance trace	Idle slice is stronger than active-build breadth; no complete persona comparison
V-003.01	V-003	design/00 pillar 2	Use a bot fallback for global milestone participation	player	minigame fallback declarations and server validation primitives	no mounted multiplayer workflows	Pitch solo fallback only	backend/data path only; intended player path unavailable: Use a bot fallback for global milestone participation	minigame/server tests	named limitation prevents the larger claim	backend_or_data_only	per-feature producer/consumer/fallback matrix	One solo tenant does not prove fallback coverage across absent multiplayer families
V-003.02	V-003	design/00 pillar 2	Use a bot fallback for guild-dependent play	player	minigame fallback declarations and server validation primitives	no mounted multiplayer workflows	Pitch solo fallback only	backend/data path only; intended player path unavailable: Use a bot fallback for guild-dependent play	minigame/server tests	named limitation prevents the larger claim	backend_or_data_only	per-feature producer/consumer/fallback matrix	One solo tenant does not prove fallback coverage across absent multiplayer families
V-003.03	V-003	design/00 pillar 2	Use a bot fallback for direct PvP	player	minigame fallback declarations and server validation primitives	no mounted multiplayer workflows	Pitch solo fallback only	backend/data path only; intended player path unavailable: Use a bot fallback for direct PvP	minigame/server tests	named limitation prevents the larger claim	backend_or_data_only	per-feature producer/consumer/fallback matrix	One solo tenant does not prove fallback coverage across absent multiplayer families
V-003.04	V-003	design/00 pillar 2	Use a bot fallback for each multiplayer minigame	player	minigame fallback declarations and server validation primitives	no mounted multiplayer workflows	Pitch solo fallback only	backend/data path only; intended player path unavailable: Use a bot fallback for each multiplayer minigame	minigame/server tests	named limitation prevents the larger claim	backend_or_data_only	per-feature producer/consumer/fallback matrix	One solo tenant does not prove fallback coverage across absent multiplayer families
V-003.05	V-003	design/00 pillar 2	See every bot identified honestly	player	minigame fallback declarations and server validation primitives	no mounted multiplayer workflows	Pitch solo fallback only	backend/data path only; intended player path unavailable: See every bot identified honestly	minigame/server tests	named limitation prevents the larger claim	backend_or_data_only	per-feature producer/consumer/fallback matrix	One solo tenant does not prove fallback coverage across absent multiplayer families
V-003.06	V-003	design/00 pillar 2	Run every bot through the same validation rules as a human	player	minigame fallback declarations and server validation primitives	no mounted multiplayer workflows	Pitch solo fallback only	backend/data path only; intended player path unavailable: Run every bot through the same validation rules as a human	minigame/server tests	named limitation prevents the larger claim	backend_or_data_only	per-feature producer/consumer/fallback matrix	One solo tenant does not prove fallback coverage across absent multiplayer families
V-004.01	V-004	design/00 pillar 3	Reach a designed terminal ending	player	none	none	none	unavailable at 190a4fa: Reach a designed terminal ending	none	no production producer-to-consumer path	absent	D-001/D-007 plus tier/endgame RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
V-004.02	V-004	design/00 pillar 3	Choose among three terminal endings	player	none	none	none	unavailable at 190a4fa: Choose among three terminal endings	none	no production producer-to-consumer path	absent	D-001/D-007 plus tier/endgame RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
V-004.03	V-004	design/00 pillar 3	Submit a completed run to a leaderboard	player	none	none	none	unavailable at 190a4fa: Submit a completed run to a leaderboard	none	no production producer-to-consumer path	absent	D-001/D-007 plus tier/endgame RFC DAG	binding intent exists; current module/fixture/future design receives no implementation credit
V-005.01	V-005	design/00 pillar 4	Encounter a distinct mechanic grammar at each tier	player	none	none	none	unavailable at 190a4fa: Encounter a distinct mechanic grammar at each tier	none	no production producer-to-consumer path	absent	stable tier capability traces	binding intent exists; current module/fixture/future design receives no implementation credit
V-005.02	V-005	design/00 pillar 4	Have each new tier automate prior-tier work	player	none	none	none	unavailable at 190a4fa: Have each new tier automate prior-tier work	none	no production producer-to-consumer path	absent	stable tier capability traces	binding intent exists; current module/fixture/future design receives no implementation credit
V-006.01	V-006	design/00 pillar 5	Use attended-time mechanics	player	save/production/Fiscal/minigame clocks	Game UI exposes run clock only	epoch-8 economy Fiscal and minigame policies	partial current path for: Use attended-time mechanics	cold production/Fiscal/minigame tests	named limitation prevents the larger claim	partial_integration	clock/persistence/offline workflow audit	Most clock families lack mounted player workflows
V-006.02	V-006	design/00 pillar 5	Use wall-clock mechanics	player	save/production/Fiscal/minigame clocks	Game UI exposes run clock only	epoch-8 economy Fiscal and minigame policies	partial current path for: Use wall-clock mechanics	cold production/Fiscal/minigame tests	named limitation prevents the larger claim	partial_integration	clock/persistence/offline workflow audit	Most clock families lack mounted player workflows
V-006.03	V-006	design/00 pillar 5	Use fixed-budget or swap-clock mechanics	player	minigame fixed-budget and swap-clock policy	no mounted minigame	Pitch policy only	backend/data path only; intended player path unavailable: Use fixed-budget or swap-clock mechanics	cold backend clock tests	named limitation prevents the larger claim	backend_or_data_only	clock/persistence/offline workflow audit	No player-facing fixed-budget or swap-clock workflow
V-006.04	V-006	design/00 pillar 5	Use production-immune Fiscal time	player	Fiscal clock kernel	none mounted	epoch-8 Fiscal policy	backend/data path only; intended player path unavailable: Use production-immune Fiscal time	cold Go/TypeScript parity and replay tests	named limitation prevents the larger claim	backend_or_data_only	clock/persistence/offline workflow audit	No player-facing Fiscal workflow
V-007.01	V-007	design/00 pillar 6	Play without paid FOMO or absence cost	player	copy pipeline plus unexported Shell telemetry	mounted Game UI copy; no telemetry disclosure/control	208-key catalog	partial current path for: Play without paid FOMO or absence cost	copy consumption audit and client source trace	named limitation prevents the larger claim	partial_integration	D-016 then R-009 plus privacy/telemetry/honesty appendix release audit	No-money is real at HEAD; telemetry and complete disclosure surfaces are not
V-007.02	V-007	design/00 pillar 6	See every parodied dark pattern disclosed	player	copy pipeline plus unexported Shell telemetry	mounted Game UI copy; no telemetry disclosure/control	208-key catalog	partial current path for: See every parodied dark pattern disclosed	copy consumption audit and client source trace	named limitation prevents the larger claim	partial_integration	D-016 then R-009 plus privacy/telemetry/honesty appendix release audit	No-money is real at HEAD; telemetry and complete disclosure surfaces are not
V-007.03	V-007	design/00 pillar 6	Have gameplay telemetry minimized	operator	copy pipeline plus unexported Shell telemetry	mounted Game UI copy; no telemetry disclosure/control	208-key catalog	partial current path for: Have gameplay telemetry minimized	copy consumption audit and client source trace	named limitation prevents the larger claim	partial_integration	D-016 then R-009 plus privacy/telemetry/honesty appendix release audit	No-money is real at HEAD; telemetry and complete disclosure surfaces are not
V-007.04	V-007	design/00 pillar 6	See collected gameplay telemetry disclosed	operator	unexported Shell diagnostics telemetry	none for player disclosure	no telemetry disclosure/control copy	unavailable at 190a4fa: See collected gameplay telemetry disclosed	source trace only	no production producer-to-consumer path	absent	D-016 then R-009 plus privacy/telemetry/honesty appendix release audit	Collected diagnostic/gameplay-adjacent data is not disclosed to the player
